Level,MetricName,ParentCategory,CountDomain,UnitOfMeasure,Formula,BaseFormula,Events,Constants,ResolutionLevels,MetricGroup
1,Backend_Bound,,Slots,percent,100 * ( a / ( b + c + d + a ) ),perf_metrics.backend_bound / ( perf_metrics.frontend_bound + perf_metrics.bad_speculation + perf_metrics.retiring + perf_metrics.backend_bound ),a=PERF_METRICS.BACKEND_BOUND;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING,,"THREAD, CORE, SOCKET, SYSTEM",BvOB;TmaL1
1,Bad_Speculation,,Slots,percent,"100 * ( max( 1 - ( ( a / ( a + b + c + d ) - e / ( f ) ) + ( d / ( a + b + c + d ) ) + ( c / ( a + b + c + d ) ) ) , 0 ) )","max( 1 - ( tma_frontend_bound + tma_backend_bound + tma_retiring ) , 0 )",a=PERF_METRICS.FRONTEND_BOUND;b=PERF_METRICS.BAD_SPECULATION;c=PERF_METRICS.RETIRING;d=PERF_METRICS.BACKEND_BOUND;e=INT_MISC.UOP_DROPPING;f=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",TmaL1
1,Frontend_Bound,,Slots,percent,100 * ( a / ( a + b + c + d ) - e / ( f ) ),perf_metrics.frontend_bound / ( perf_metrics.frontend_bound + perf_metrics.bad_speculation + perf_metrics.retiring + perf_metrics.backend_bound ) - int_misc.uop_dropping / tma_info_thread_slots,a=PERF_METRICS.FRONTEND_BOUND;b=PERF_METRICS.BAD_SPECULATION;c=PERF_METRICS.RETIRING;d=PERF_METRICS.BACKEND_BOUND;e=INT_MISC.UOP_DROPPING;f=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",BvFB;BvIO;TmaL1;PGO
1,Retiring,,Slots,percent,100 * ( a / ( b + c + a + d ) ),perf_metrics.retiring / ( perf_metrics.frontend_bound + perf_metrics.bad_speculation + perf_metrics.retiring + perf_metrics.backend_bound ),a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND,,"THREAD, CORE, SOCKET, SYSTEM",BvUW;TmaL1
2,Branch_Mispredicts,Bad_Speculation,Slots,percent,100 * ( a / ( b + c + d + e ) ),perf_metrics.branch_mispredicts / ( perf_metrics.frontend_bound + perf_metrics.bad_speculation + perf_metrics.retiring + perf_metrics.backend_bound ),a=PERF_METRICS.BRANCH_MISPREDICTS;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING;e=PERF_METRICS.BACKEND_BOUND,,"THREAD, CORE, SOCKET, SYSTEM",BadSpec;BrMispredicts;BvMP;TmaL2
2,Core_Bound,Backend_Bound,Slots,percent,"100 * ( max( 0 , ( a / ( b + c + d + a ) ) - ( e / ( b + c + d + a ) ) ) )","max( 0 , tma_backend_bound - tma_memory_bound )",a=PERF_METRICS.BACKEND_BOUND;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING;e=PERF_METRICS.MEMORY_BOUND,,"THREAD, CORE, SOCKET, SYSTEM",Backend;TmaL2;Compute
2,Fetch_Bandwidth,Frontend_Bound,Slots,percent,"100 * ( max( 0 , ( a / ( a + b + c + d ) - e / ( f ) ) - ( ( g / ( a + b + c + d ) - e / ( f ) ) ) ) )","max( 0 , tma_frontend_bound - tma_fetch_latency )",a=PERF_METRICS.FRONTEND_BOUND;b=PERF_METRICS.BAD_SPECULATION;c=PERF_METRICS.RETIRING;d=PERF_METRICS.BACKEND_BOUND;e=INT_MISC.UOP_DROPPING;f=TOPDOWN.SLOTS:perf_metrics;g=PERF_METRICS.FETCH_LATENCY,,"THREAD, CORE, SOCKET, SYSTEM",FetchBW;Frontend;TmaL2
2,Fetch_Latency,Frontend_Bound,Slots,percent,100 * ( ( a / ( b + c + d + e ) - f / ( g ) ) ),( perf_metrics.fetch_latency / ( perf_metrics.frontend_bound + perf_metrics.bad_speculation + perf_metrics.retiring + perf_metrics.backend_bound ) - int_misc.uop_dropping / tma_info_thread_slots ),a=PERF_METRICS.FETCH_LATENCY;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING;e=PERF_METRICS.BACKEND_BOUND;f=INT_MISC.UOP_DROPPING;g=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",Frontend;TmaL2
2,Heavy_Operations,Retiring,Slots,percent,100 * ( a / ( b + c + d + e ) ),perf_metrics.heavy_operations / ( perf_metrics.frontend_bound + perf_metrics.bad_speculation + perf_metrics.retiring + perf_metrics.backend_bound ),a=PERF_METRICS.HEAVY_OPERATIONS;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING;e=PERF_METRICS.BACKEND_BOUND,,"THREAD, CORE, SOCKET, SYSTEM",Retire;TmaL2
2,Light_Operations,Retiring,Slots,percent,"100 * ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) )","max( 0 , tma_retiring - tma_heavy_operations )",a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND;e=PERF_METRICS.HEAVY_OPERATIONS,,"THREAD, CORE, SOCKET, SYSTEM",Retire;TmaL2
2,Machine_Clears,Bad_Speculation,Slots,percent,"100 * ( max( 0 , ( max( 1 - ( ( a / ( a + b + c + d ) - e / ( f ) ) + ( d / ( a + b + c + d ) ) + ( c / ( a + b + c + d ) ) ) , 0 ) ) - ( g / ( a + b + c + d ) ) ) )","max( 0 , tma_bad_speculation - tma_branch_mispredicts )",a=PERF_METRICS.FRONTEND_BOUND;b=PERF_METRICS.BAD_SPECULATION;c=PERF_METRICS.RETIRING;d=PERF_METRICS.BACKEND_BOUND;e=INT_MISC.UOP_DROPPING;f=TOPDOWN.SLOTS:perf_metrics;g=PERF_METRICS.BRANCH_MISPREDICTS,,"THREAD, CORE, SOCKET, SYSTEM",BadSpec;BvMS;MachineClears;TmaL2
2,Memory_Bound,Backend_Bound,Slots,percent,100 * ( a / ( b + c + d + e ) ),perf_metrics.memory_bound / ( perf_metrics.frontend_bound + perf_metrics.bad_speculation + perf_metrics.retiring + perf_metrics.backend_bound ),a=PERF_METRICS.MEMORY_BOUND;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING;e=PERF_METRICS.BACKEND_BOUND,,"THREAD, CORE, SOCKET, SYSTEM",Backend;TmaL2
3,AMX_Busy,Core_Bound,Core_Clocks,percent,100 * ( a / ( b if smt_on else ( c ) ) ),exe.amx_busy / tma_info_core_core_clks,a=EXE.AMX_BUSY;b=CPU_CLK_UNHALTED.DISTRIBUTED;c=CPU_CLK_UNHALTED.THREAD,smt_on=HYPERTHREADING_ON;threads=THREADS_PER_CORE,"THREAD, CORE, SOCKET, SYSTEM",BvCB;Compute;HPC;Server
3,Branch_Resteers,Fetch_Latency,Clocks,percent,100 * ( a / ( b ) + ( c / ( b ) ) ),int_misc.clear_resteer_cycles / tma_info_thread_clks + tma_unknown_branches,a=INT_MISC.CLEAR_RESTEER_CYCLES;b=CPU_CLK_UNHALTED.THREAD;c=INT_MISC.UNKNOWN_BRANCH_CYCLES,,"THREAD, CORE, SOCKET, SYSTEM",FetchLat
