metric,cases,total_ms,mean_ms,median_ms,p90_ms,min_ms,max_ms
full_wall_ms,36,1030578.264,28627.174,25756.471,42238.342,15914.722,56935.874
import_and_outer_ms,36,147736.762,4103.799,2994.957,7226.841,2839.636,12200.725
main_total_ms,36,882841.502,24523.375,20365.917,39179.562,12822.133,53930.666
environment_start_ms,36,99500.253,2763.896,2783.642,2966.583,2505.569,3327.856
agent_setup_ms,36,49485.876,1374.608,1331.396,1419.524,1272.304,1933.48
step_total_ms,36,679566.196,18876.839,15215.731,31595.913,7814.096,41754.698
action_parse_ms,36,912.694,25.353,21.226,44.108,10.482,76.997
tool_and_submission_ms,36,664263.8,18451.772,14814.73,30925.88,7626.461,40953.891
communicate_ms,36,308179.444,8560.54,6754.368,15015.215,3216.101,30770.733
history_integrate_ms,36,10474.323,290.953,219.466,545.035,107.833,663.161
environment_close_ms,36,24302.024,675.056,670.707,746.093,570.123,823.182
other_main_ms,36,29987.155,832.977,378.19,2075.858,69.123,7184.746
step_residual_ms,36,3915.379,108.761,89.576,201.288,44.618,395.798
