instance_id,status,full_wall_ms,main_total_ms,import_and_outer_ms,environment_start_ms,agent_setup_ms,step_total_ms,action_parse_ms,tool_and_submission_ms,communicate_ms,history_integrate_ms,environment_close_ms,other_main_ms,step_residual_ms,tool_calls,parse_calls,expected_replay_calls,autosubmit_calls,replay_complete
astropy__astropy-14995,PASS,16376.55,12877.214,3499.336,2448.358,1525.717,8202.853,11.377,7984.743,3511.509,155.893,621.887,78.398,50.84,16,16,16,0,True
astropy__astropy-7746,PASS,17926.006,14513.605,3412.401,2711.285,1332.137,9763.059,11.309,9549.625,4660.263,147.708,620.533,86.592,54.417,17,17,17,0,True
django__django-12915,PASS,20928.769,17522.72,3406.049,2857.103,1356.256,12558.008,14.629,12281.486,4868.556,192.99,571.136,180.217,68.903,23,23,23,0,True
django__django-13028,PASS,26759.253,19289.127,7470.126,2587.264,1372.971,14374.158,19.775,13770.655,5272.233,430.4,571.716,383.018,153.328,26,26,26,0,True
django__django-13321,PASS,22759.009,15277.691,7481.318,2860.296,1371.985,10164.299,13.003,9830.901,3356.059,257.262,671.294,209.817,63.133,20,20,20,0,True
django__django-14608,PASS,37112.94,29635.156,7477.784,2602.44,1348.159,23886.327,34.601,23345.119,7299.226,384.193,621.457,1176.773,122.414,51,51,51,0,True
django__django-14672,PASS,22752.386,15285.931,7466.455,2620.857,1379.722,10519.515,13.198,10304.881,3415.983,126.317,621.036,144.801,75.119,22,22,22,0,True
django__django-14855,PASS,27082.984,19603.231,7479.753,2617.132,1357.391,14541.072,19.602,14071.547,4505.727,336.252,621.385,466.251,113.671,29,29,29,0,True
django__django-16379,PASS,24742.53,17266.032,7476.497,2628.401,1364.938,12558.523,10.888,12284.993,6865.76,196.037,620.696,93.475,66.605,17,17,17,0,True
django__django-16820,PASS,38901.116,31414.947,7486.169,2632.301,1351.25,25237.668,36.943,24579.715,8899.734,432.148,572.951,1620.778,188.862,48,48,48,0,True
matplotlib__matplotlib-23314,PASS,26742.256,19259.773,7482.483,2801.734,1340.312,14304.248,14.32,14101.091,7245.202,126.001,670.714,142.766,62.836,23,23,23,0,True
matplotlib__matplotlib-24149,PASS,24183.718,16716.954,7466.764,3059.451,1340.601,11577.562,13.414,11336.324,5823.09,172.047,621.045,118.295,55.777,19,19,19,0,True
matplotlib__matplotlib-26011,PASS,25036.136,17573.127,7463.009,2787.579,1328.834,12661.771,13.582,12461.53,6355.317,129.55,670.871,124.071,57.109,21,21,21,0,True
mwaskom__seaborn-3407,PASS,57593.011,50133.915,7459.096,2602.413,1321.03,45257.822,27.439,44851.998,36008.63,269.004,571.815,380.834,109.381,32,32,32,0,True
pallets__flask-5063,PASS,29192.125,21726.239,7465.886,2320.418,1318.148,17023.774,23.345,16667.687,6374.325,227.69,571.206,492.693,105.052,37,37,37,0,True
pydata__xarray-4493,PASS,41811.543,34346.089,7465.453,2363.216,1431.537,28956.255,43.557,28484.167,15272.182,296.49,570.683,1024.398,132.041,49,49,49,0,True
pylint-dev__pylint-7080,PASS,22606.143,15148.243,7457.899,2404.504,1441.548,10550.981,15.459,10298.461,4067.845,177.01,571.427,179.783,60.051,22,22,22,0,True
pytest-dev__pytest-5221,PASS,31242.504,23759.661,7482.843,2339.214,1304.279,18885.315,28.557,18481.927,7721.075,279.648,621.022,609.831,95.183,40,40,40,0,True
scikit-learn__scikit-learn-14092,PASS,27115.245,19629.317,7485.928,2383.263,1452.198,14790.207,22.467,14280.19,5303.396,336.237,621.638,382.01,151.313,30,30,30,0,True
scikit-learn__scikit-learn-25570,PASS,32332.836,24876.615,7456.221,2417.61,1451.188,19997.897,29.517,19651.564,9534.861,183.714,571.303,438.617,133.102,36,36,36,0,True
scikit-learn__scikit-learn-25638,PASS,34591.743,27103.076,7488.666,2412.09,1320.501,21963.193,31.428,21327.691,9684.015,423.942,621.409,785.883,180.132,39,39,39,0,True
sphinx-doc__sphinx-10451,PASS,44401.728,36684.605,7717.123,2411.724,1558.128,29806.557,48.63,29243.278,11147.763,347.942,621.424,2286.773,166.707,64,64,64,0,True
sphinx-doc__sphinx-8474,PASS,32470.778,24989.709,7481.069,2392.349,1550.915,20050.376,24.663,19627.388,10377.621,293.173,572.726,423.341,105.152,33,33,33,0,True
sympy__sympy-11870,PASS,43835.506,36325.475,7510.031,2667.496,1425.064,29571.585,40.762,28551.48,14237.937,648.124,620.904,2040.426,331.219,49,49,47,2,True
sympy__sympy-12236,PASS,53886.322,46372.616,7513.705,2397.949,1323.067,39000.975,52.872,38067.291,19896.133,633.511,621.064,3029.561,247.301,64,64,64,0,True
sympy__sympy-12419,PASS,37032.673,29550.957,7481.716,2411.912,1313.325,24224.97,32.558,23387.268,12330.489,673.434,570.814,1029.936,131.71,40,40,40,0,True
sympy__sympy-12454,PASS,23605.537,16129.884,7475.653,2414.765,1312.622,11700.307,14.892,11426.097,5090.526,198.231,572.221,129.968,61.087,21,21,21,0,True
