metric,cases,total_ms,mean_ms,median_ms,p90_ms,min_ms,max_ms
full_wall_ms,36,1144161.184,31782.255,28151.626,45678.552,16376.55,63576.687
import_and_outer_ms,36,231423.848,6428.44,7472.89,7501.59,3072.23,7717.123
main_total_ms,36,912737.334,25353.815,20876.071,40228.617,12877.214,56065.932
environment_start_ms,36,91346.777,2537.41,2450.255,2794.657,2320.418,3059.451
agent_setup_ms,36,49622.05,1378.39,1353.753,1451.693,1304.279,1558.128
step_total_ms,36,716932.807,19914.8,15965.155,33462.394,8202.853,45257.822
action_parse_ms,36,970.004,26.945,22.889,47.012,10.888,83.006
tool_and_submission_ms,36,700377.527,19454.931,15565.747,32665.091,7984.743,44851.998
communicate_ms,36,333722.37,9270.066,7263.564,16084.828,3356.059,36008.63
history_integrate_ms,36,11349.62,315.267,263.133,617.744,126.001,673.434
environment_close_ms,36,21921.282,608.924,621.037,670.791,522.638,671.497
other_main_ms,36,32914.414,914.289,403.179,2302.544,78.398,8086.504
step_residual_ms,36,4235.656,117.657,104.245,204.87,50.84,331.219
