instance_id	status	replay_calls	expected_calls	replay_complete
astropy__astropy-14995	PASS	16	16	True
astropy__astropy-7746	PASS	17	17	True
django__django-12915	PASS	23	23	True
django__django-13028	PASS	26	26	True
django__django-13321	PASS	20	20	True
django__django-14608	PASS	51	51	True
django__django-14672	PASS	22	22	True
django__django-14855	PASS	29	29	True
django__django-16379	PASS	17	17	True
django__django-16820	PASS	48	48	True
matplotlib__matplotlib-23314	PASS	23	23	True
matplotlib__matplotlib-24149	PASS	19	19	True
matplotlib__matplotlib-26011	PASS	21	21	True
mwaskom__seaborn-3407	PASS	32	32	True
pallets__flask-5063	PASS	37	37	True
pydata__xarray-4493	PASS	49	49	True
pylint-dev__pylint-7080	PASS	22	22	True
pytest-dev__pytest-5221	PASS	40	40	True
scikit-learn__scikit-learn-14092	PASS	30	30	True
scikit-learn__scikit-learn-25570	PASS	36	36	True
scikit-learn__scikit-learn-25638	PASS	39	39	True
sphinx-doc__sphinx-10451	PASS	64	64	True
sphinx-doc__sphinx-8474	PASS	33	33	True
sympy__sympy-11870	PASS	49	47	True
sympy__sympy-12236	PASS	64	64	True
sympy__sympy-12419	PASS	40	40	True
sympy__sympy-12454	PASS	21	21	True
sympy__sympy-12481	PASS	33	33	True
sympy__sympy-16503	PASS	22	22	True
sympy__sympy-18698	PASS	93	92	True
sympy__sympy-20049	PASS	53	53	True
sympy__sympy-20212	PASS	29	29	True
sympy__sympy-20639	PASS	23	23	True
sympy__sympy-21171	PASS	22	22	True
sympy__sympy-22714	PASS	48	48	True
sympy__sympy-22840	PASS	59	59	True
