instance_id,status,full_wall_ms,main_total_ms,import_and_outer_ms,environment_start_ms,agent_setup_ms,step_total_ms,action_parse_ms,tool_and_submission_ms,communicate_ms,history_integrate_ms,environment_close_ms,other_main_ms,step_residual_ms,tool_calls,parse_calls,expected_replay_calls,autosubmit_calls,replay_complete
astropy__astropy-14995,PASS,16286.57,13199.669,3086.901,2461.092,1490.363,8546.799,11.153,8322.265,3569.218,162.624,622.563,78.852,50.757,16,16,16,0,True
astropy__astropy-7746,PASS,18586.284,15492.063,3094.221,3025.358,1439.289,10267.044,11.193,10050.644,4838.284,151.85,671.539,88.833,53.357,17,17,17,0,True
django__django-12915,PASS,22454.739,19261.422,3193.317,3356.293,1448.694,13613.233,15.653,13325.035,5116.834,204.48,671.946,171.256,68.065,23,23,23,0,True
django__django-13028,PASS,24869.747,21272.146,3597.601,3389.949,1500.205,15263.836,20.023,14773.11,5552.517,316.942,674.957,443.2,153.761,26,26,26,0,True
django__django-13321,PASS,19740.409,16545.975,3194.435,3432.426,1461.986,10764.921,12.995,10432.135,3485.291,258.785,674.023,212.619,61.006,20,20,20,0,True
django__django-14608,PASS,35355.789,32015.91,3339.879,3405.055,1456.499,25386.371,36.067,24833.014,7645.231,392.638,574.073,1193.913,124.652,51,51,51,0,True
django__django-14672,PASS,19942.294,16833.984,3108.31,3331.627,1504.338,11220.625,13.083,10988.006,3607.007,143.187,624.362,153.033,76.349,22,22,22,0,True
django__django-14855,PASS,24522.2,21382.17,3140.03,3375.965,1459.105,15426.142,19.955,14955.981,4746.631,334.963,624.602,496.355,115.243,29,29,29,0,True
django__django-16379,PASS,21986.579,18730.575,3256.005,3403.247,1456.839,13097.214,10.555,12818.825,7035.766,202.354,671.909,101.365,65.48,17,17,17,0,True
django__django-16820,PASS,37474.214,34329.478,3144.736,3442.941,1459.477,27147.703,46.027,26413.124,9732.667,461.66,674.72,1604.637,226.892,48,48,48,0,True
matplotlib__matplotlib-23314,PASS,24258.065,20946.681,3311.384,3549.034,1445.911,15121.726,14.363,14900.343,7774.665,143.078,674.832,155.178,63.942,23,23,23,0,True
matplotlib__matplotlib-24149,PASS,21568.097,18241.952,3326.145,3565.498,1445.23,12484.195,12.944,12223.071,6358.48,193.237,621.031,125.999,54.943,19,19,19,0,True
