metric,cases,total_ms,mean_ms,median_ms,p90_ms,min_ms,max_ms
full_wall_ms,36,1085846.737,30162.409,26924.499,44792.337,18637.919,60397.35
import_and_outer_ms,36,146560.228,4071.117,3205.895,7402.934,3023.261,10309.94
main_total_ms,36,939286.507,26091.292,21525.631,41541.388,14071.048,57194.708
environment_start_ms,36,92109.353,2558.593,2457.36,2803.029,2338.554,2984.502
agent_setup_ms,36,51423.528,1428.431,1404.784,1511.76,1330.43,1627.493
step_total_ms,36,740816.688,20578.241,16561.232,34724.404,8568.967,45449.679
action_parse_ms,36,1037.17,28.81,22.541,50.897,10.509,105.583
tool_and_submission_ms,36,722762.111,20076.725,16144.232,33910.724,8335.191,44720.014
communicate_ms,36,335319.069,9314.419,7282.719,16254.757,3441.447,35325.806
history_integrate_ms,36,12310.933,341.97,288.441,652.188,136.106,678.525
environment_close_ms,36,23161.773,643.383,622.909,699.193,523.779,1124.542
other_main_ms,36,31775.166,882.644,430.435,2226.894,84.291,7186.56
step_residual_ms,36,4706.474,130.735,103.443,273.338,50.126,485.963
