instance_id,status,full_wall_ms,main_total_ms,import_and_outer_ms,environment_start_ms,agent_setup_ms,step_total_ms,action_parse_ms,tool_and_submission_ms,communicate_ms,history_integrate_ms,environment_close_ms,other_main_ms,step_residual_ms,tool_calls,parse_calls,expected_replay_calls,autosubmit_calls,replay_complete
astropy__astropy-14995,PASS,15681.555,12731.4,2950.155,2613.236,1570.868,7807.121,10.823,7618.123,3298.508,133.129,670.291,69.884,45.046,16,16,16,0,True
astropy__astropy-7746,PASS,16785.908,13930.707,2855.202,2781.428,1296.36,9205.504,10.704,9020.857,4309.648,125.47,569.803,77.612,48.473,17,17,17,0,True
django__django-12915,PASS,19987.043,16949.75,3037.293,2782.09,1328.95,12063.888,14.392,11820.227,4579.7,167.547,619.867,154.956,61.722,23,23,23,0,True
django__django-13028,PASS,21842.813,18890.951,2951.862,2802.625,1350.148,13746.203,18.221,13211.482,4949.164,269.48,620.458,371.516,247.02,26,26,26,0,True
django__django-13321,PASS,17925.043,14892.204,3032.839,2790.897,1342.589,9944.288,12.311,9659.741,3225.871,217.134,620.25,194.18,55.102,20,20,20,0,True
django__django-14608,PASS,32427.552,29144.38,3283.172,2966.77,1320.848,23260.2,33.099,22788.453,7089.355,331.821,620.647,975.915,106.827,51,51,51,0,True
django__django-14672,PASS,18111.801,15185.976,2925.825,2816.058,1346.929,10225.152,12.763,10035.349,3298.273,110.309,670.035,127.802,66.731,22,22,22,0,True
django__django-14855,PASS,23818.846,19437.19,4381.655,2834.452,1322.641,14231.675,19.035,13585.928,4348.51,528.613,620.741,427.682,98.099,29,29,29,0,True
django__django-16379,PASS,20155.315,17022.499,3132.816,2796.301,1329.192,12239.005,10.337,12001.483,6710.573,168.036,574.559,83.441,59.149,17,17,17,0,True
django__django-16820,PASS,35558.691,31345.753,4212.938,3081.114,1327.112,24532.829,36.354,23842.565,8554.805,491.856,671.992,1732.707,162.054,48,48,48,0,True
matplotlib__matplotlib-23314,PASS,23147.891,18348.149,4799.742,2948.801,1300.088,13250.583,14.08,13071.394,6593.737,108.589,720.118,128.559,56.52,23,23,23,0,True
matplotlib__matplotlib-24149,PASS,23553.767,16070.431,7483.335,2969.26,1309.946,10915.244,12.382,10708.52,5354.954,145.346,770.252,105.729,48.996,19,19,19,0,True
matplotlib__matplotlib-26011,PASS,21127.962,16993.57,4134.392,2943.992,1299.886,11966.665,13.391,11788.998,5859.454,112.569,669.905,113.121,51.707,21,21,21,0,True
mwaskom__seaborn-3407,PASS,52285.194,44289.572,7995.622,2555.116,1286.966,39437.89,24.524,39092.57,30563.768,226.773,670.956,338.645,94.023,32,32,32,0,True
pallets__flask-5063,PASS,28454.26,21205.038,7249.222,2494.258,1284.902,16368.382,22.428,16059.263,6105.753,194.706,620.704,436.791,91.985,37,37,37,0,True
pydata__xarray-4493,PASS,38135.373,32602.124,5533.249,2531.29,1396.099,27171.588,39.719,26766.573,14011.551,251.452,621.331,881.815,113.844,49,49,49,0,True
pylint-dev__pylint-7080,PASS,18141.472,14760.124,3381.348,2585.614,1369.074,10075.208,15.089,9850.423,3806.632,155.322,569.985,160.243,54.374,22,22,22,0,True
pytest-dev__pytest-5221,PASS,26052.393,23036.918,3015.476,2518.906,1271.404,18089.558,27.184,17737.576,7320.168,240.618,620.128,536.922,84.18,40,40,40,0,True
scikit-learn__scikit-learn-14092,PASS,22688.563,18947.404,3741.16,2578.596,1413.919,14041.721,21.249,13481.75,4998.947,409.005,570.07,343.099,129.717,30,30,30,0,True
