metric,cases,total_ms,mean_ms,median_ms,p90_ms,min_ms,max_ms
full_wall_ms,36,1022494.276,28402.619,24071.523,43259.276,15681.555,57403.481
import_and_outer_ms,36,140360.117,3898.892,3125.285,7265.188,2784.289,7995.622
main_total_ms,36,882134.159,24503.727,20465.056,38909.747,12731.4,54456.971
environment_start_ms,36,99414.656,2761.518,2793.599,2957.785,2494.258,3089.13
agent_setup_ms,36,49400.745,1372.243,1324.877,1415.586,1271.404,1998.484
step_total_ms,36,678902.821,18858.412,15219.567,31528.246,7807.121,41800.351
action_parse_ms,36,915.643,25.435,21.23,43.962,10.337,80.558
tool_and_submission_ms,36,663800.415,18438.9,14813.796,30854.452,7618.123,40943.087
communicate_ms,36,307891.191,8552.533,6754.028,15015.465,3225.871,30563.768
history_integrate_ms,36,10361.749,287.826,221.953,546.292,108.589,600.206
environment_close_ms,36,23495.467,652.652,621.255,745.558,520.558,971.6
other_main_ms,36,30920.47,858.902,380.279,2084.749,69.884,7710.599
step_residual_ms,36,3825.014,106.25,90.976,218.418,45.046,276.113
