instance_id,status,full_wall_ms,main_total_ms,import_and_outer_ms,environment_start_ms,agent_setup_ms,step_total_ms,action_parse_ms,tool_and_submission_ms,communicate_ms,history_integrate_ms,environment_close_ms,other_main_ms,step_residual_ms,tool_calls,parse_calls,expected_replay_calls,autosubmit_calls,replay_complete
astropy__astropy-14995,PASS,15623.452,12738.286,2885.167,2604.849,1620.814,7824.161,10.901,7635.347,3296.804,132.988,619.564,68.897,44.925,16,16,16,0,True
astropy__astropy-7746,PASS,16679.062,13797.647,2881.415,2616.766,1295.503,9239.34,10.642,9058.325,4328.588,123.029,569.499,76.539,47.344,17,17,17,0,True
django__django-12915,PASS,19993.913,17135.53,2858.383,2779.4,1334.469,12147.568,14.566,11905.087,4595.42,166.772,719.738,154.355,61.143,23,23,23,0,True
django__django-13028,PASS,22197.863,19258.765,2939.098,3055.878,1350.543,13859.626,18.394,13329.558,4975.688,266.221,620.066,372.652,245.453,26,26,26,0,True
django__django-13321,PASS,17952.906,15091.061,2861.845,3036.767,1339.978,9892.351,12.726,9608.979,3218.943,215.446,626.999,194.966,55.2,20,20,20,0,True
django__django-14608,PASS,32269.915,29051.83,3218.085,3039.247,1319.66,23104.813,33.399,22635.973,7066.704,329.462,621.541,966.569,105.979,51,51,51,0,True
django__django-14672,PASS,18087.794,15081.253,3006.541,2810.288,1360.854,10162.099,12.733,9974.558,3285.438,108.948,619.729,128.283,65.86,22,22,22,0,True
django__django-14855,PASS,22571.924,19652.841,2919.083,3081.429,1329.589,14194.637,19.058,13557.058,4353.431,521.391,620.36,426.825,97.13,29,29,29,0,True
django__django-16379,PASS,20025.199,17147.179,2878.02,2806.956,1342.367,12242.302,10.67,12006.305,6729.196,166.578,669.885,85.67,58.749,17,17,17,0,True
django__django-16820,PASS,33813.969,30954.118,2859.85,3035.853,1351.232,24409.997,36.215,23726.456,8535.443,486.513,720.64,1436.397,160.813,48,48,48,0,True
matplotlib__matplotlib-23314,PASS,21231.635,18297.384,2934.251,2965.843,1307.741,13226.424,13.699,13051.196,6582.711,106.226,672.206,125.17,55.303,23,23,23,0,True
matplotlib__matplotlib-24149,PASS,18826.969,15969.869,2857.1,2961.309,1318.418,10912.546,13.034,10705.497,5351.268,144.608,670.728,106.869,49.407,19,19,19,0,True
matplotlib__matplotlib-26011,PASS,19972.785,17098.984,2873.801,2949.129,1302.122,12016.381,13.005,11841.87,5870.635,110.575,719.689,111.664,50.931,21,21,21,0,True
mwaskom__seaborn-3407,PASS,47252.141,44422.02,2830.121,2521.302,1285.981,39650.668,25.486,39304.623,30748.383,226.056,619.831,344.238,94.503,32,32,32,0,True
pallets__flask-5063,PASS,24425.308,21510.403,2914.906,2779.951,1290.491,16383.11,22.375,16075.193,6114.662,193.608,619.907,436.943,91.934,37,37,37,0,True
pydata__xarray-4493,PASS,35739.68,32819.816,2919.864,2771.097,1399.864,27191.152,40.416,26786.181,14024.451,250.655,572.062,885.64,113.9,49,49,49,0,True
pylint-dev__pylint-7080,PASS,18244.087,14952.324,3291.763,2613.217,1404.507,10104.742,14.826,9885.756,3819.344,151.326,669.755,160.102,52.834,22,22,22,0,True
pytest-dev__pytest-5221,PASS,25888.858,23012.45,2876.408,2515.81,1271.602,18117.847,26.3,17773.476,7339.481,235.763,569.676,537.515,82.308,40,40,40,0,True
scikit-learn__scikit-learn-14092,PASS,22928.418,19330.695,3597.723,2818.025,1420.636,14080.303,21.326,13529.318,5018.437,401.796,669.99,341.742,127.863,30,30,30,0,True
scikit-learn__scikit-learn-25570,PASS,27048.098,24214.004,2834.094,2832.597,1413.968,18811.173,28.667,18509.537,8722.056,157.955,772.283,383.984,115.014,36,36,36,0,True
scikit-learn__scikit-learn-25638,PASS,28643.559,25763.522,2880.037,2814.783,1317.994,20389.317,29.965,19850.632,8916.23,357.611,569.857,671.57,151.109,39,39,39,0,True
sphinx-doc__sphinx-10451,PASS,39881.845,36650.421,3231.424,3564.438,1955.88,28568.886,44.498,28084.78,10594.688,298.637,570.311,1990.906,140.971,64,64,64,0,True
sphinx-doc__sphinx-8474,PASS,27168.079,24332.727,2835.352,2578.441,1885.733,18914.727,23.486,18555.68,9585.861,246.511,570.52,383.307,89.05,33,33,33,0,True
sympy__sympy-11870,PASS,37433.561,34397.761,3035.8,2862.144,1403.355,27955.692,37.76,26850.278,13132.922,670.757,675.519,1501.051,396.897,49,49,47,2,True
sympy__sympy-12236,PASS,47690.506,44831.879,2858.626,2824.548,1309.724,37423.98,48.211,36612.478,18303.817,555.204,620.875,2652.752,208.087,64,64,64,0,True
sympy__sympy-12419,PASS,31777.58,28758.976,3018.604,2822.833,1282.378,22823.532,30.07,22092.77,11322.179,588.767,770.136,1060.097,111.925,40,40,40,0,True
sympy__sympy-12454,PASS,19437.387,16404.912,3032.476,2575.076,1286.124,11709.077,13.966,11475.294,4756.007,166.577,719.661,114.973,53.24,21,21,21,0,True
sympy__sympy-12481,PASS,24126.435,21253.869,2872.567,2583.413,1394.634,16062.441,21.473,15519.629,6792.301,453.354,770.081,443.3,67.985,33,33,33,0,True
sympy__sympy-16503,PASS,21148.487,18043.432,3105.056,2855.392,1297.777,13028.984,14.459,12746.893,6863.817,202.103,719.674,141.606,65.529,22,22,22,0,True
sympy__sympy-18698,PASS,57451.396,54450.993,3000.404,2895.318,1399.943,41868.604,79.385,41053.1,16038.534,538.041,670.883,7616.244,198.078,93,93,92,1,True
sympy__sympy-20049,PASS,44821.625,41982.095,2839.53,2863.473,1406.544,34572.113,42.551,33725.43,19288.316,584.024,721.505,2418.46,220.108,53,53,53,0,True
sympy__sympy-20212,PASS,22035.657,19202.054,2833.603,2612.644,1279.165,14357.682,20.506,14097.502,6410.788,176.122,719.708,232.856,63.552,29,29,29,0,True
sympy__sympy-20639,PASS,20329.386,17484.385,2845.001,2608.886,1290.059,12682.29,14.937,12480.989,6360.71,134.804,769.569,133.581,51.56,23,23,23,0,True
sympy__sympy-21171,PASS,20497.908,17685.192,2812.716,2866.319,1310.663,12706.55,13.898,12485.69,6639.585,156.126,669.684,131.976,50.836,22,22,22,0,True
sympy__sympy-22714,PASS,29377.681,26243.156,3134.525,2897.671,1398.88,20445.714,35.671,20106.362,7358.503,213.439,720.009,780.882,90.242,48,48,48,0,True
sympy__sympy-22840,PASS,39086.786,36220.978,2865.808,2889.452,1297.165,28547.597,46.073,27838.365,11920.302,517.752,721.626,2765.138,145.407,59,59,59,0,True
