instance_id,status,full_wall_ms,main_total_ms,import_and_outer_ms,environment_start_ms,agent_setup_ms,step_total_ms,action_parse_ms,tool_and_submission_ms,communicate_ms,history_integrate_ms,environment_close_ms,other_main_ms,step_residual_ms,tool_calls,parse_calls,expected_replay_calls,autosubmit_calls,replay_complete
astropy__astropy-14995,PASS,23783.661,13463.156,10320.504,3318.41,1853.926,7506.336,14.054,7334.677,2970.067,121.761,722.751,61.734,35.844,16,16,16,0,True
astropy__astropy-7746,PASS,16202.044,13469.641,2732.403,2559.064,1316.718,8901.059,9.968,8733.949,3985.17,116.306,620.992,71.808,40.836,17,17,17,0,True
django__django-12915,PASS,19022.887,16416.612,2606.276,2688.777,1344.469,11580.567,12.194,11366.687,4166.126,151.946,671.262,131.538,49.74,23,23,23,0,True
django__django-13028,PASS,20962.878,18337.613,2625.266,2710.223,1351.925,13206.671,14.945,12768.427,4543.155,324.609,722.171,346.623,98.69,26,26,26,0,True
django__django-13321,PASS,16756.103,14379.319,2376.785,2681.754,1354.091,9458.793,10.199,9220.341,3053.346,187.061,721.384,163.298,41.192,20,20,20,0,True
django__django-14608,PASS,30672.705,28265.04,2407.664,2700.033,1344.48,22704.541,27.672,22288.229,6886.832,302.516,675.436,840.55,86.124,51,51,51,0,True
django__django-14672,PASS,17208.653,14792.577,2416.076,2693.692,1362.822,9952.411,10.76,9777.321,3160.064,109.467,671.265,112.387,54.863,22,22,22,0,True
django__django-14855,PASS,21193.84,18745.042,2448.798,2702.548,1331.613,13675.663,15.128,13360.469,4175.685,225.869,621.978,413.241,74.197,29,29,29,0,True
django__django-16379,PASS,19237.917,16867.156,2370.761,2720.06,1357.092,12046.133,10.35,11838.861,6623.033,150.304,671.584,72.288,46.618,17,17,17,0,True
django__django-16820,PASS,31820.529,29425.034,2395.495,2716.414,1336.206,23508.612,30.061,23035.017,7976.486,312.495,672.604,1191.198,131.039,48,48,48,0,True
matplotlib__matplotlib-23314,PASS,19689.527,17300.887,2388.639,2825.778,1313.364,12271.424,12.88,12101.999,5613.623,107.158,771.473,118.848,49.387,23,23,23,0,True
matplotlib__matplotlib-24149,PASS,17430.356,15071.791,2358.565,2837.249,1320.501,10147.048,11.146,9962.065,4594.217,135.212,671.142,95.85,38.625,19,19,19,0,True
matplotlib__matplotlib-26011,PASS,18313.545,15930.771,2382.774,2693.037,1288.915,11177.731,11.131,11021.517,5046.635,103.287,672.243,98.845,41.796,21,21,21,0,True
mwaskom__seaborn-3407,PASS,40257.163,37837.509,2419.654,2499.253,1307.044,33071.529,19.826,32772.59,24081.101,207.353,674.491,285.193,71.76,32,32,32,0,True
pallets__flask-5063,PASS,24054.575,20862.087,3192.488,2491.087,1303.956,16071.729,18.634,15793.492,5724.465,186.518,620.716,374.6,73.085,37,37,37,0,True
pydata__xarray-4493,PASS,33639.269,31068.512,2570.758,2497.855,1465.136,25827.909,32.292,25446.057,12464.467,260.862,571.585,706.026,88.698,49,49,49,0,True
pylint-dev__pylint-7080,PASS,17250.149,14719.087,2531.062,2572.164,1381.468,9851.982,11.696,9654.564,3538.523,144.09,771.305,142.169,41.632,22,22,22,0,True
pytest-dev__pytest-5221,PASS,25107.969,22563.354,2544.616,2488.061,1287.439,17732.576,21.585,17408.468,6776.952,234.407,621.356,433.922,68.116,40,40,40,0,True
scikit-learn__scikit-learn-14092,PASS,20969.991,18455.154,2514.837,2503.915,1445.941,13556.079,17.496,13206.4,4707.565,234.64,671.432,277.787,97.543,30,30,30,0,True
scikit-learn__scikit-learn-25570,PASS,25347.281,22813.416,2533.865,2523.768,1428.679,17880.89,22.694,17610.447,7705.161,158.56,671.551,308.528,89.189,36,36,36,0,True
scikit-learn__scikit-learn-25638,PASS,27049.013,24514.337,2534.676,2525.885,1308.11,19448.527,23.609,19005.593,7974.437,298.991,673.197,558.618,120.334,39,39,39,0,True
