metric,cases,total_ms,mean_ms,median_ms,p90_ms,min_ms,max_ms
full_wall_ms,36,991681.854,27546.718,23527.427,42351.735,15623.452,57451.396
import_and_outer_ms,36,106439.047,2956.64,2880.726,3176.305,2812.716,3597.723
main_total_ms,36,885242.811,24590.078,20453.355,39316.258,12738.286,54450.993
environment_start_ms,36,101710.544,2825.293,2823.69,3038.007,2515.81,3564.438
agent_setup_ms,36,49576.357,1377.121,1332.029,1417.302,1271.602,1955.88
step_total_ms,36,679628.426,18878.567,15210.061,31570.499,7824.161,41868.604
action_parse_ms,36,915.347,25.426,21.399,43.525,10.642,79.385
tool_and_submission_ms,36,664476.165,18457.671,14808.566,30905.105,7635.347,41053.1
communicate_ms,36,308261.643,8562.823,6760.748,15031.493,3218.943,30748.383
history_integrate_ms,36,10355.745,287.66,220.751,546.622,106.226,670.757
environment_close_ms,36,23943.766,665.105,669.938,745.597,569.499,772.283
other_main_ms,36,30383.719,843.992,377.98,2204.683,68.897,7616.244
step_residual_ms,36,3881.169,107.81,89.646,203.082,44.925,396.897
